Object	DS_Pr[True]	DS_Pr[False]	DS_Category	MV_Pr[True]	MV_Pr[False]	MV_Category	DS_Exp_Cost	MV_Exp_Cost	NoVote_Exp_Cost	DS_Opt_Cost	MV_Opt_Cost	NoVote_Opt_Cost	Correct_Category	Eval_Cost_MV_ML	Eval_Cost_DS_ML	Eval_Cost_MV_Soft	Eval_Cost_DS_Soft
3	0.0	1.0	False	0.453	0.547	False	0.0	0.496	0.5	0.0	0.453	0.5	---	---	---	---	---
30	0.0	1.0	False	0.474	0.526	False	0.0	0.499	0.5	0.0	0.474	0.5	---	---	---	---	---
31	1.0	0.0	True	0.625	0.375	True	0.0	0.469	0.5	0.0	0.375	0.5	---	---	---	---	---
32	1.0	0.0	True	0.529	0.471	True	0.0	0.498	0.5	0.0	0.471	0.5	---	---	---	---	---
33	1.0	0.0	True	0.587	0.413	True	0.0	0.485	0.5	0.0	0.413	0.5	---	---	---	---	---
34	1.0	0.0	True	0.524	0.476	True	0.0	0.499	0.5	0.0	0.476	0.5	---	---	---	---	---
35	1.0	0.0	True	0.646	0.354	True	0.0	0.458	0.5	0.0	0.354	0.5	---	---	---	---	---
36	1.0	0.0	True	0.527	0.473	True	0.0	0.499	0.5	0.0	0.473	0.5	---	---	---	---	---
37	1.0	0.0	True	0.413	0.587	False	0.0	0.485	0.5	0.0	0.413	0.5	---	---	---	---	---
38	1.0	0.0	True	0.566	0.434	True	0.0	0.491	0.5	0.0	0.434	0.5	---	---	---	---	---
39	0.0	1.0	False	0.441	0.559	False	0.0	0.493	0.5	0.0	0.441	0.5	---	---	---	---	---
4	0.0	1.0	False	0.386	0.614	False	0.0	0.474	0.5	0.0	0.386	0.5	---	---	---	---	---
40	0.0	1.0	False	0.41	0.59	False	0.0	0.484	0.5	0.0	0.41	0.5	---	---	---	---	---
41	1.0	0.0	True	0.458	0.542	False	0.0	0.497	0.5	0.0	0.458	0.5	---	---	---	---	---
42	0.0	1.0	False	0.403	0.597	False	0.0	0.481	0.5	0.0	0.403	0.5	---	---	---	---	---
43	0.0	1.0	False	0.304	0.696	False	0.0	0.423	0.5	0.0	0.304	0.5	---	---	---	---	---
44	0.0	1.0	False	0.427	0.573	False	0.0	0.489	0.5	0.0	0.427	0.5	---	---	---	---	---
45	0.0	1.0	False	0.429	0.571	False	0.0	0.49	0.5	0.0	0.429	0.5	---	---	---	---	---
46	0.0	1.0	False	0.377	0.623	False	0.0	0.47	0.5	0.0	0.377	0.5	---	---	---	---	---
47	0.0	1.0	False	0.371	0.629	False	0.0	0.467	0.5	0.0	0.371	0.5	---	---	---	---	---
48	0.0	1.0	False	0.558	0.442	True	0.0	0.493	0.5	0.0	0.442	0.5	---	---	---	---	---
49	0.0	1.0	False	0.418	0.582	False	0.0	0.487	0.5	0.0	0.418	0.5	---	---	---	---	---
5	1.0	0.0	True	0.521	0.479	True	0.0	0.499	0.5	0.0	0.479	0.5	---	---	---	---	---
6	1.0	0.0	True	0.542	0.458	True	0.0	0.497	0.5	0.0	0.458	0.5	---	---	---	---	---
7	1.0	0.0	True	0.536	0.464	True	0.0	0.497	0.5	0.0	0.464	0.5	---	---	---	---	---
8	1.0	0.0	True	0.594	0.406	True	0.0	0.482	0.5	0.0	0.406	0.5	---	---	---	---	---
9	1.0	0.0	True	0.644	0.356	True	0.0	0.459	0.5	0.0	0.356	0.5	---	---	---	---	---
